,state,pop_total,pop_density
0,Alabama,4903185,93.53117906262518
1,Alaska,731545,1.1144380546140078
2,Arizona,7278717,63.8450344718699
3,Arkansas,3017804,56.744838479184686
4,California,39512223,241.3593981931133
5,Colorado,5758736,55.31926993275697
6,Connecticut,3565287,643.0892857142857
7,Delaware,973764,498.3439099283521
8,Florida,21477737,326.61785638249336
9,Georgia,10617423,178.6212042193099
10,Hawaii,1415872,129.5162824734724
11,Idaho,1787065,21.383025821427715
12,Illinois,12671821,218.78899478573155
13,Indiana,6732219,184.8495057660626
14,Iowa,3155070,56.06421920534508
15,Kansas,2913314,35.406455846965315
16,Kentucky,4467673,110.5558635025117
17,Louisiana,4648794,89.6706209131416
18,Maine,1344212,37.98604007121259
19,Maryland,6045680,487.279761425002
20,Massachusetts,6892503,653.0083372809095
21,Michigan,9986857,103.15935337258547
22,Minnesota,5639632,64.86585464039658
23,Mississippi,2976149,61.44751620762275
24,Missouri,6137428,88.04355248246281
25,Montana,1068778,7.268324197870054
26,Nebraska,1934408,25.005920525349673
27,Nevada,3080156,27.85782376296725
28,New Hampshire,1359711,145.40808469682386
29,New Jersey,8882190,1018.3662004127493
30,New Mexico,2096829,17.244652241494165
31,New York,19453561,357.10988526847177
32,North Carolina,10488084,194.8697348618569
33,North Dakota,762062,10.778202081918986
34,Ohio,11689100,260.7544391897921
35,Oklahoma,3956971,56.60659771397508
36,Oregon,4217737,42.86928018213973
37,Pennsylvania,12801989,277.9536454036215
38,Rhode Island,1059361,685.6705501618123
39,South Carolina,5148714,160.86212391039462
40,South Dakota,884659,11.471051983247106
41,Tennessee,6829174,162.03611256109713
42,Texas,28995881,107.95150055286466
43,Utah,3205958,37.75979930274192
44,Vermont,623989,64.89745189807593
45,Virginia,8535519,199.57256424045454
46,Washington,7614893,106.79624980716099
47,West Virginia,1792147,73.96091783252858
48,Wisconsin,5822434,88.88805092896509
49,Wyoming,578759,5.916692224334989
50,District of Columbia,705749,10378.661764705883
