id,date,location,total_vaccinations,total_distributed,people_vaccinated,people_fully_vaccinated,daily_vaccinations
1,2021-01-12,Alabama,78134,377025,70861,7270,0
2,2021-01-13,Alabama,84040,378975,74792,9245,5906
3,2021-01-14,Alabama,92300,435350,80480,9245,7083
4,2021-01-15,Alabama,100567,444650,86956,13488,7478
5,2021-01-16,Alabama,100567,444650,86956,13488,7498
6,2021-01-17,Alabama,100567,444650,86956,13488,7509
7,2021-01-18,Alabama,100567,444650,86956,13488,7517
8,2021-01-19,Alabama,130795,444650,114319,16346,7523
9,2021-01-20,Alabama,139200,483275,121113,17956,7880
10,2021-01-21,Alabama,165919,493125,144429,21345,10517
11,2021-01-22,Alabama,199314,519525,174317,24840,14107
12,2021-01-23,Alabama,221540,521225,193955,27422,16202
13,2021-01-24,Alabama,243737,521225,213833,29736,18294
14,2021-01-25,Alabama,250612,521225,220464,29978,18196
15,2021-01-26,Alabama,254959,569000,223854,30933,17738
16,2021-01-27,Alabama,266444,634000,232633,33595,18178
17,2021-01-28,Alabama,278993,655275,241337,37431,16153
18,2021-01-29,Alabama,300915,659400,256601,44073,14514
19,2021-01-30,Alabama,342436,659400,288368,53742,17271
20,2021-01-31,Alabama,353974,659400,298301,55331,15748
21,2021-02-01,Alabama,358280,659400,301628,56308,15381
22,2021-02-02,Alabama,371882,680550,312711,58825,16703
23,2021-02-03,Alabama,388339,765150,324998,62990,17414
24,2021-02-04,Alabama,408428,799675,338845,69155,18491
25,2021-02-05,Alabama,430597,799875,353522,76603,18526
26,2021-02-06,Alabama,455173,804100,370275,84278,16105
27,2021-02-07,Alabama,462332,804100,375567,86141,15480
28,2021-02-08,Alabama,467636,804100,378514,88453,15622
29,2021-02-09,Alabama,490969,823600,395196,95033,17012
30,2021-02-10,Alabama,515802,861175,412462,102520,18209
31,2021-02-11,Alabama,543237,911875,431259,111036,19258
32,2021-02-12,Alabama,571115,936200,448071,122019,20074
33,2021-02-13,Alabama,601159,963600,467032,133029,20855
34,2021-02-14,Alabama,612254,965550,474065,137032,21417
35,2021-02-15,Alabama,612254,965550,474065,137032,22405
36,2021-02-16,Alabama,636682,1015775,486206,149288,20816
37,2021-02-17,Alabama,650020,1032175,494424,154341,19174
38,2021-02-18,Alabama,672038,1032175,505660,165104,18400
39,2021-02-19,Alabama,739132,1077600,545431,192304,24002
40,2021-02-20,Alabama,776936,1078800,560968,214512,25111
41,2021-02-21,Alabama,788613,1082100,567505,219639,25194
42,2021-02-22,Alabama,793614,1082100,583741,228101,24164
43,2021-02-23,Alabama,815108,1084440,593936,239425,25489
44,2021-02-24,Alabama,839703,1138650,604602,253615,27098
45,2021-02-25,Alabama,864757,1170120,615100,268465,27531
46,2021-02-26,Alabama,893859,1380380,627063,286095,22104
47,2021-02-27,Alabama,931090,1402180,643208,307868,22022
48,2021-02-28,Alabama,942502,1402280,649745,313290,21984
