,state,edu_total,no_hs,some_hs,hs_diploma,some_college,associate,bachelor,grad,no_hs_pct,some_hs_pct,hs_diploma_pct,some_college_pct,associate_pct,bachelor_pct,grad_pct
0,Alabama,3360058,130320,302753,1039241,700473,301914,547975,337382,3.8785044781965072,9.01035041657019,30.929257768764707,20.8470508544793,8.985380609501384,16.308498246161225,10.040957626326689
1,Alaska,484058,10424,20666,139156,124261,43394,89583,56574,2.153460948894554,4.269323097645324,28.747794685760798,25.6706840915758,8.964628205710886,18.506666556487033,11.687442413925604
2,Arizona,4944540,252459,360539,1170685,1236845,431854,931038,561120,5.10581368539844,7.291659082543574,23.67631771610706,25.014359273056748,8.733957051616532,18.829618124234003,11.348275067043648
3,Arkansas,2036456,94376,160617,710306,444052,151738,307185,168182,4.634325514521306,7.887084228679628,34.879516179087595,21.805135981332274,7.451081683080803,15.084293498116336,8.258562915182061
4,California,26937872,2346235,1955278,5546711,5542372,2118792,5889724,3538760,8.709800833562504,7.2584723841586305,20.590754162021412,20.574646727848435,7.865476530588608,21.86410270269307,13.136746659127343
5,Colorado,3974943,127702,174518,836590,805570,334961,1057825,637777,3.2126749993647707,4.3904528945446515,21.046591108350484,20.266202559382613,8.426812661213004,26.61233129632299,16.044934480821485
6,Connecticut,2496420,99132,132707,668361,410972,190700,549166,445382,3.970966423919052,5.315892357856451,26.772778618982386,16.462454234463753,7.638938960591567,21.998141338396586,17.840828065790213
7,Delaware,687311,23925,42597,207642,128063,56885,134287,93912,3.4809569467097137,6.197631057847175,30.21077794477318,18.63246768929931,8.276457091476784,19.538025726345136,13.6636835435487
8,District of Columbia,505145,16459,24709,79881,65745,16922,129825,171604,3.2582723772382187,4.8914668065604925,15.813479298023339,13.015074879490045,3.349929228241396,25.700541428698692,33.97123598174782
9,Florida,15484502,712764,1081871,4396122,3001381,1538727,2982643,1770994,4.603079905314359,6.986798800503885,28.390464220289424,19.383129015062934,9.937206892414105,19.262117696778365,11.43720346963693
10,Georgia,7080222,319929,536096,1939945,1414554,568130,1410395,891173,4.5186295006004045,7.5717399821644005,27.39949397066928,19.97894981259062,8.024183422497204,19.920208716619335,12.58679459485875
11,Hawaii,996668,36278,39700,273421,205964,106096,219979,115230,3.6399282408986746,3.9832722631809188,27.43350845015592,20.665256635108182,10.645069371144654,22.071442044893587,11.561522994618068
12,Idaho,1170997,34969,64937,305274,304578,124584,220189,116466,2.9862587179984237,5.5454454622855565,26.06958002454319,26.010143493108863,10.639139126744134,18.803549454012263,9.945883721307569
13,Illinois,8694694,388348,494289,2255611,1737416,710058,1886240,1222732,4.46649416299182,5.684949924632195,25.94238509141322,19.982485870118026,8.166566874003847,21.69415047844122,14.062967598399666
