,state,households,<10k,10k-15k,15k-25k,25k-35k,35k-50k,50k-75k,75k-100k,100k-150k,150k-200k,>200k,median_income,mean_income,<10k_pct,10k-15k_pct,15k-25k_pct,25k-35k_pct,35k-50k_pct,50k-75k_pct,75k-100k_pct,100k-150k_pct,150k-200k_pct,>200k_pct
0,Alabama,1897576,154558,103653,207206,196062,254455,337136,212632,254736,95243,81895,51734,71478,8.145022913443256,5.4623899121827,10.91950994321176,10.332234387450095,13.409476089495229,17.7666665261365,11.205453694608279,13.424284455536958,5.019192907161558,4.315769170773661
1,Alaska,252199,10352,8180,16595,17523,27082,45717,33863,45904,23597,23386,75463,98504,4.10469510188383,3.243470434061991,6.580121253454613,6.9480846474411075,10.738345512868806,18.127351813448904,13.427095270005035,18.201499609435405,9.356500224029437,9.27283613337087
2,Arizona,2670441,157050,93592,220085,228755,364640,501672,354816,408935,165735,175161,62055,84438,5.8810511072890215,3.5047394793594018,8.24152265487236,8.566188131473416,13.654673516471624,18.786110608697214,13.286794203654004,15.313388313016466,6.206278288866895,6.559253696299599
3,Arkansas,1163647,83090,69710,140461,134140,164364,213046,133504,134998,45587,44747,48952,68219,7.140481606535315,5.990648366729773,12.070756853238139,11.527550880980227,14.12490213956638,18.308473274111478,11.472895130567947,11.601284582008118,3.9175970032148926,3.8454101630477284
4,California,13157873,601685,490306,871341,897875,1306618,2016079,1645318,2284679,1241231,1802741,80440,113563,4.5728135542879915,3.726331755900061,6.622202539878595,6.8238612730188235,9.930313204877415,15.322225712316879,12.504437457330681,17.363589084649167,9.433371183929196,13.700854233811194
5,Colorado,2235103,102245,65394,139449,150423,235774,391062,308250,410206,203081,229219,77127,103518,4.57450954161844,2.925771206069698,6.239041332770794,6.730025417173168,10.54868612318985,17.496374887421297,13.791310736015298,18.352890224745792,9.085979482824728,10.255411048170934
6,Connecticut,1377166,73356,48946,99565,93446,136499,208524,168812,234307,131551,182160,78833,114630,5.326590984674324,3.554110397729831,7.229702156457536,6.785383897075589,9.911586548026891,15.141529779271345,12.257926785877665,17.01370786092599,9.552297980054691,13.227163609906139
7,Delaware,376239,20337,13603,26550,27137,44884,68906,51204,64021,31851,27746,70176,92445,5.405340754148294,3.6155209853311323,7.056684713705915,7.212702564061674,11.929651099434137,18.314422481454606,13.609434428647749,17.01604565183301,8.465629559933978,7.374567761449505
8,District of Columbia,291570,23471,9733,14320,13316,24815,35334,32011,47320,30966,60284,92266,135369,8.049867956236923,3.338134924717907,4.911342044791988,4.566999348355455,8.510820729155949,12.118530713036321,10.978838700826559,16.22937887985732,10.620434201049491,20.675652501972085
9,Florida,7905832,474053,319988,715451,757321,1073293,1477166,1013871,1104428,440216,530045,59227,83883,5.996244291555905,4.047493040580675,9.049661060341277,9.5792700882083,13.57596518620684,18.684510371583915,12.824342839564515,13.969788379009318,5.568243797743236,6.70448094520602
10,Georgia,3852714,237054,163741,339649,344152,477525,704472,490823,570272,243294,281732,61980,86468,6.152909351693378,4.25001700100241,8.815837355173523,8.932716002277875,12.394509428937626,18.28508422893576,12.739668711458988,14.80182541450001,6.314873099845979,7.3125594061744525
11,Hawaii,465299,23344,12238,27456,29598,40282,78291,62750,92806,47879,50655,83102,106247,5.016989075841556,2.6301367507774573,5.900721901401035,6.361071053236736,8.65722900758437,16.82595492360826,13.485952043739616,19.945454428227873,10.28994259605114,10.886548219531957
12,Idaho,655859,27773,24498,59456,63227,86494,135934,93083,98515,34280,32599,60999,78975,4.234599205012053,3.735254071378147,9.065363134454204,9.64033427916671,13.187895569017122,20.726101189432487,14.192532236349582,15.020759035097484,5.226733185029099,4.970428095063116
13,Illinois,4866006,289515,178230,390135,387330,554038,804020,622878,821115,379693,439052,69187,95725,5.949746054567133,3.6627575058477113,8.017561014104793,7.959916202322809,11.38588813906107,16.52320198536541,12.800600739086635,16.874516800842414,7.802970238836532,9.02284131996549
14,Indiana,2597765,153355,104333,244782,254260,358328,503988,335223,381890,139536,122070,57603,78064,5.903343835951289,4.01626013130518,9.42279228490645,9.787644378918031,13.793703433528437,19.400831099040904,12.904285029631241,14.700713882895489,5.3713865572905934,4.699039366532384
15,Iowa,1287221,65503,52788,107809,117690,173593,251185,181075,203007,70712,63859,61691,80267,5.088714369948906,4.1009275019596485,8.375329488875648,9.142952142639064,13.485873832077008,19.513743172306853,14.06712600245024,15.770951530467572,5.493384585863655,4.960997373411404
16,Kansas,1138329,57967,49134,94465,101522,151418,219839,154883,175372,66556,67173,62087,82270,5.092288784701084,4.316326826427157,8.298567461603806,8.918511256411811,13.301778308380092,19.31243076474376,13.606171853655665,15.406090857739722,5.846815815111448,5.9010180712254545
17,Kentucky,1748732,137394,96775,188422,175015,233754,322484,217584,223872,81644,71788,52295,72215,7.856778511515773,5.534009785375918,10.774778525240002,10.008108732498748,13.36705681602441,18.441018978322578,12.442386826569194,12.801961649926918,4.668754274525771,4.105145900000686
18,Louisiana,1741076,175845,98971,197280,172388,207161,284191,201402,226414,90875,86549,51073,72658,10.099788866195388,5.684473279741953,11.330924095214684,9.901233490094631,11.898446707668132,16.322722270595886,11.567674242824552,13.004257137540234,5.2194734750234915,4.971006435101052
19,Maine,573618,29156,26772,54360,55630,78311,105886,78301,83954,31446,29802,58924,78303,5.082825155417019,4.667217555934437,9.476690062027341,9.698091761416135,13.652116914043841,18.45932310352883,13.650373593576212,14.63587265392648,5.482045542503896,5.195443657625807
20,Maryland,2226767,107286,58002,123699,140628,200584,339538,292625,430396,230504,303505,86738,114089,4.818016433690637,2.604762869218019,5.555093999506909,6.315344173862824,9.00785758007012,15.24802550064735,13.141249174251278,19.32829074618045,10.35150961012086,13.629849912451549
21,Massachusetts,2650680,136022,103250,172562,161249,232762,372639,317741,479674,286667,388114,85843,117482,5.131588875307468,3.8952268851766334,6.510103067892013,6.083306925015468,8.781218404333982,14.058241658744173,11.987150467049965,18.096262091236966,10.814847510827411,14.642054114415922
22,Michigan,3969880,244230,161953,355402,387046,528190,737333,520933,574391,233324,227078,59584,80681,6.152075125696495,4.079543966064465,8.952462039154836,9.749564218565801,13.304936169355244,18.573181053331584,13.122134674095943,14.468724495450743,5.877356494402854,5.720021763882031
23,Minnesota,2222568,91789,75931,145573,159039,251878,391809,322135,410721,184474,189219,74593,96995,4.129862393411585,3.416363413852805,6.549765856432739,7.155641582169814,11.332746624625209,17.62866198019588,14.493819761645089,18.47956957897351,8.30003851400722,8.513530294686147
24,Mississippi,1100229,102072,72195,137947,122975,151068,191518,122825,119877,44171,35581,45792,65081,9.277341353481866,6.561815767444777,12.538026174550934,11.177218560863238,13.730596084996852,17.40710343028588,11.163585035478977,10.895640816593637,4.014709664987926,3.233963111315917
25,Missouri,2458337,155827,111813,237235,233589,334341,459104,318344,351752,129949,126383,57409,77885,6.338715969372792,4.548318639795927,9.6502228945828,9.501911251386607,13.60029157922612,18.67538909433491,12.949567126069372,14.30853459066027,5.286053132666514,5.1409957219046865
26,Montana,437651,23489,21550,44357,39725,62899,81763,58858,62882,23210,18918,57153,77320,5.367061882641648,4.924014797178574,10.135244749812065,9.076867184126163,14.371953908479588,18.682237673397296,13.448615449296359,14.368069534857684,5.30331245672922,4.322622363481404
27,Nebraska,771444,37219,30395,61627,67044,102347,150357,111438,122363,47279,41375,63229,82539,4.824588693411317,3.940013792316746,7.988525414676892,8.690715074587398,13.266938364936404,19.49033241557391,14.445377759111485,15.861553139307585,6.128636686525528,5.363318659552735
28,Nevada,1143557,68825,45099,90754,92887,148876,213519,159361,181344,69365,73527,63276,86946,6.018501919886809,3.943747447656741,7.9361151215024694,8.122638399310222,13.018677687251271,18.67147855332091,13.935553715293597,15.857889025208188,6.065723002876114,6.429675127693679
29,New Hampshire,541396,21229,16539,35270,36745,59443,91482,76433,101443,49858,52954,77933,100882,3.9211593731760113,3.0548803463638445,6.514639930845443,6.7870837612394626,10.979578718719754,16.897428130241078,14.1177622294956,18.73730134688841,9.209155590362691,9.781010572667697
30,New Jersey,3286264,154374,95123,204626,209317,296199,493011,401067,593831,338989,499727,85751,119301,4.697553209358713,2.8945635530194775,6.226706071088628,6.369451754332579,9.013244218967193,15.002172679979452,12.204345116521376,18.070094185981407,10.315330722060066,15.206538488691109
31,New Mexico,793420,65613,42519,90452,81695,99372,142989,96945,98713,39437,35685,51945,71591,8.269642812129767,5.358952383353079,11.400267197701092,10.296564240881247,12.524514128708628,18.02185475536286,12.21862317561947,12.441455975397647,4.970507423558771,4.497617907287439
32,New York,7446812,497771,329325,575044,539159,758107,1130324,883154,1198214,634178,901536,72108,107355,6.684350296475861,4.422362213521706,7.722015810255449,7.240131750338266,10.180289229807332,15.17862945915648,11.859491014409924,16.09029474626189,8.516100581027157,12.106334898745933
33,North Carolina,4046348,251158,187653,388606,390767,558772,729876,513941,558344,224461,242770,57341,80037,6.20702915320185,4.637589253321761,9.603869958787529,9.657276141350176,13.809291736647467,18.03789491165861,12.701354406491976,13.798714297435613,5.547249025541056,5.99973111556396
34,North Dakota,323519,17538,14453,25259,28693,38512,60050,42595,56886,18358,21175,64577,85551,5.421010821620987,4.467434679261497,7.807578534800121,8.869030876084558,11.904092186239449,18.561506433934326,13.166150983404377,17.583511323909878,5.674473523966135,6.545210636778674
35,Ohio,4730340,299030,202612,448313,457845,612438,889467,613563,682965,269173,254934,58642,79505,6.32153291306756,4.283243910585709,9.47739485956612,9.67890257359936,12.947018607541953,18.803447532312685,12.970801253186876,14.437968518119204,5.690352067716063,5.389337764304469
36,Oklahoma,1495151,103143,71318,151182,151177,208513,280380,186534,201000,71804,70100,54449,75537,6.8985005527869765,4.769953001402534,10.111487067192543,10.11115265280898,13.945949272013328,18.752620972731183,12.475930524742985,13.44345821927016,4.802458079484948,4.688489657566359
37,Oregon,1649352,88539,60952,124119,136988,202458,299532,223055,273331,123842,116536,67058,88449,5.368108202494071,3.6955119343839278,7.525319034384413,8.305564852135868,12.275002546454608,18.160586703141597,13.523796012009564,16.572023437083168,7.508524559948391,7.065562717964388
38,Pennsylvania,5119249,306937,208953,439429,452249,627789,898632,680462,791664,341460,371674,63463,87789,5.995742734920689,4.0817119854884965,8.58385673367324,8.834284091279795,12.263302683655358,17.55398106245662,13.292223136635862,15.464455821547263,6.670118995969916,7.260322754372761
39,Puerto Rico,1170982,314185,137740,217667,146361,134328,113432,49955,33682,10760,12872,20474,33055,26.830899194009817,11.762776882992224,18.588415534995413,12.498996568691918,11.471397510807169,9.686912352196703,4.266077531507743,2.8763892186216355,0.9188868829751439,1.0992483232022354
40,Rhode Island,407174,22810,18403,31322,31178,43236,68195,57136,71643,32977,30274,71169,92553,5.602027634377441,4.5196893711288055,7.6925343956146515,7.657168679729059,10.61855619464897,16.74836801956903,14.032330158605411,17.59518043882959,8.098994533049753,7.435150574447288
41,South Carolina,1975915,141931,85070,190457,188548,275592,358805,248230,269269,111249,106764,56227,78188,7.183051902536293,4.305347142969207,9.638926775696323,9.542313308011732,13.947563533856467,18.15892890129383,12.562787366865477,13.627559889975025,5.630252313485145,5.403268865310502
42,South Dakota,353799,16727,15252,32326,34740,45739,72124,48104,54181,18784,15822,59533,77650,4.727825686336027,4.310922303341727,9.136826277066923,9.819134593370812,12.927961921882197,20.385586166156493,13.59642056647984,15.314062504416349,5.3092292516372295,4.472030729312406
43,Tennessee,2654737,164481,131682,258214,265661,372636,490697,334559,359748,134618,142441,56071,78035,6.195754984392051,4.960265367153131,9.726537883037,10.007055312823832,14.036644684577041,18.483827211509087,12.602340646173237,13.551172865711367,5.070860126634013,5.3655409179892395
44,Texas,9985126,592805,372516,845360,853384,1229359,1786280,1264129,1545073,707336,788884,64034,89681,5.936880516079617,3.7307090566508627,8.466192614895396,8.546552141655498,12.311902724111844,17.889408706510064,12.660120663474853,15.473745649278737,7.083896587784672,7.900591339558459
45,Utah,1023855,36408,28407,61342,72795,108755,198560,162387,197549,82782,74870,75780,96415,3.555972281231229,2.774513969263226,5.991278061834928,7.109893490777503,10.622109576063018,19.393371131654387,15.86035131927861,19.294626680535817,8.085324582094145,7.312558907267143
46,Vermont,262767,13617,11629,20556,24096,32347,49973,35909,42952,15969,15719,63001,83015,5.182157576864674,4.425593776996351,7.822900135861809,9.170101268424117,12.31014549011101,19.017989321337918,13.665719059090373,16.34604040842267,6.077247142906073,5.982105819985006
47,Virginia,3191847,153926,101392,222990,229821,340385,519559,413879,541400,288495,380000,76456,105091,4.822474260201068,3.176593364280932,6.986237122268078,7.200251139857268,10.66420163623131,16.27769125525127,12.966755612032783,16.961965908766928,9.038497146009817,11.905332555100543
48,Washington,2932477,128566,87160,189180,192777,309102,495758,391406,537989,267383,333156,78687,105775,4.384211709077343,2.972231325258476,6.451201492799433,6.573862301392304,10.540645331574638,16.905776243087328,13.347282860189527,18.345889839886212,9.117991377255475,11.360907519479266
49,West Virginia,728175,61766,43216,82927,78370,105445,128810,88424,88076,26562,24579,48850,65842,8.482301644522265,5.934837092731829,11.388333848319428,10.762522745219211,14.480722353829782,17.68942905208226,12.143234799327086,12.095444089676246,3.6477495107632096,3.3754248635286843
50,Wisconsin,2386623,104969,96151,200728,208229,313184,454017,338536,399887,146292,124630,64168,82899,4.3982229283803935,4.028746894670839,8.410544941534544,8.724838401372986,13.122474726842071,19.023406713167518,14.18472879880903,16.75534845679439,6.129665221528494,5.2220229168997365
51,Wyoming,233128,11707,9486,19140,19996,24516,47692,35493,38610,14838,11650,65003,83155,5.0217048145224945,4.06900929961223,8.21008201503037,8.57726227651762,10.516111320819464,20.45743111080608,15.224683435709139,16.561717168250915,6.364743831714765,4.997254727016918
